"Amount", "Kоличество"
"Back to list", "Oбратно к списку"
"Company name","Название компании"
"Contacts","Контакты"
"Courier","Курьер"
"Date", "Дата"
"Enter postcode/address","Ввести почтовый индекс/адрес"
"Itella courier","Smartpost Itella курьер"
"Itella pickup point","Smartpost Itella пункт посылок"
"No information","Нет информации"
"No points to select", "Выбор невозможен"
"No","Нет"
"Nothing found", "Ничего не найдено"
"Order #","Заказ #"
"Parcel Nr","Посылка Нр."
"Parcel terminal","Посылочный терминал"
"Pickup point","Пункт получения"
"Pickup points","Пункты получения"
"Please select parcel terminal.","Пожалуйста, выберите посылочный терминал."
"Price","Цена"
"Receiver", "Получатель"
"reset search", "восстановить поиск"
"Select a pickup point","Выбрать пункт получения"
"Select parcel terminal","Выбрать посылочный терминал"
"Select pickup point", "Выбрать пункт получения"
"select","выбрать"
"Sort Order","Порядок сортировки"
"Title","Название"
"Weight", "Вес"
"Workhours","Рабочее время"
"Yes","Да"